Labor,Year,,Min,Max,Baht
ค่าแรงขั้นต่ำ,2004,คือ,133,170,บาท
ค่าแรงขั้นต่ำ,2005,คือ,139,181,บาท
ค่าแรงขั้นต่ำ,2006,คือ,140,184,บาท
ค่าแรงขั้นต่ำ,2007,คือ,143,191,บาท
ค่าแรงขั้นต่ำ,2008,คือ,148,203,บาท
ค่าแรงขั้นต่ำ,2009,คือ,148,203,บาท
ค่าแรงขั้นต่ำ,2010,คือ,151,206,บาท
ค่าแรงขั้นต่ำ,2011,คือ,159,221,บาท
ค่าแรงขั้นต่ำ,2012,คือ,222,300,บาท
ค่าแรงขั้นต่ำ,2013,คือ,300,300,บาท
ค่าแรงขั้นต่ำ,2014,คือ,300,300,บาท
ค่าแรงขั้นต่ำ,2015,คือ,300,300,บาท
ค่าแรงขั้นต่ำ,2016,คือ,300,300,บาท
ค่าแรงขั้นต่ำ,2017,คือ,300,310,บาท
ค่าแรงขั้นต่ำ,2018,คือ,300,310,บาท
ค่าแรงขั้นต่ำ,2019,คือ,300,330,บาท
ค่าแรงขั้นต่ำ,2020,คือ,313,336,บาท
ค่าแรงขั้นต่ำ,2021,คือ,313,336,บาท
ค่าแรงขั้นต่ำ,2022,คือ,323,354,บาท
ค่าแรงขั้นต่ำ,2023,คือ,323,354,บาท...
