Date,Inflation-rate,% Change
31/12/1961,6.6211,
31/12/1963,3.6961,-2.925
31/12/1965,-0.6258,-4.3219
31/12/1967,8.3449,8.9707
31/12/1969,4.2408,-4.1041
31/12/1971,0.3967,-3.8441
31/12/1973,20.3473,19.9506
31/12/1975,29.6437,9.2964
31/12/1977,11.7506,-17.8931
31/12/1979,17.8215,6.0709
31/12/1981,32.3665,14.545
31/12/1983,8.9856,-23.3809
31/12/1985,3.2966,-5.689
31/12/1987,4.3082,1.0116
31/12/1989,9.2182,4.91
31/12/1991,11.5739,2.3557
31/12/1993,7.4513,-4.1226
31/12/1995,10.8659,3.4146
31/12/1997,11.4309,0.565
31/12/1999,8.2794,-3.1515
31/12/2001,3.2189,-5.0605
31/12/2003,2.5016,-0.7173
31/12/2005,7.2995,4.7979
31/12/2007,6.879,-0.4205
31/12/2009,4.6228,-2.2562
31/12/2011,7.0564,2.4336
31/12/2013,5.1998,-1.8566
31/12/2015,0.9947,-4.2051
31/12/2017,0.8537,-0.141
31/12/2019,1.7706,0.9169
31/12/2021,0.3845,-1.3861
31/12/2023,7.3054,6.9209
